market;date;type;isin;description;issue_date;expiration_date;currency;last_negociated_price;last_negociated_tir;nominal_price
SDC;01/11/19;BONOS;ES0311843017;BS AUCALSA- 2,900 05/2021;17/05/2016;17/05/2021;EUR;103.0;0.8902;31000.0
SDC;01/11/19;BONOS;ES03138603C7;BS B. SABADELL-I 0,700 03/2022;28/03/2019;28/03/2022;EUR;100.15;0.1694;150000.0
